,Feature,Score
18,spread1,90.42421921505482
21,PPE,75.80319540976892
19,spread2,50.34316480428167
0,MDVP:Fo(Hz),33.286577243180126
2,MDVP:Flo(Hz),32.612875258294416
8,MDVP:Shimmer,30.122600126459837
12,MDVP:APQ,29.53635024125245
15,HNR,29.01592733470667
11,Shimmer:APQ5,27.145032566713706
9,MDVP:Shimmer(dB),27.065484110242977
10,Shimmer:APQ3,26.5271203750922
13,Shimmer:DDA,26.52562558768423
20,D2,25.265912013433347
4,MDVP:Jitter(Abs),25.00172903931073
16,RPDE,20.310049413719256
6,MDVP:PPQ,17.548532852725124
3,MDVP:Jitter(%),16.192808868332744
5,MDVP:RAP,14.77522577573334
7,Jitter:DDP,14.772665514477415
17,DFA,10.952901114331551
14,NHR,7.183269723882255
1,MDVP:Fhi(Hz),5.478255055663751
