,feature,VIF
0,MDVP:Fo(Hz),102.24280631791903
1,MDVP:Fhi(Hz),8.880350536797232
2,MDVP:Flo(Hz),18.052013539237592
3,MDVP:Jitter(%),506.5605772333946
4,MDVP:Jitter(Abs),122.71653636975331
5,MDVP:RAP,3101964.4474472366
6,MDVP:PPQ,273.80358054665885
7,Jitter:DDP,3103948.971368636
8,MDVP:Shimmer,2653.6566437974852
9,MDVP:Shimmer(dB),303.10240663427453
10,Shimmer:APQ3,51152986.518916376
11,Shimmer:APQ5,342.8411494976046
12,MDVP:APQ,184.053596687299
13,Shimmer:DDA,51126303.41158492
14,NHR,15.997170158466337
15,HNR,132.1105076175144
16,RPDE,55.61440733368754
17,DFA,414.9149970372411
18,spread1,384.3695654899567
19,spread2,23.076220605636706
20,D2,112.65409416978501
21,PPE,133.49126986950432
